1.0924206670761107 3.9498987e-06 1.0276148830879677 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 928, 'input_size': [4, 2], 'network_layers': [50, 50, 130, 1], 'learning_rate': 0.0001, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0.1, 'bias_regularization': 0.1, 'plot_error': None, 'save_weights': None, 'reproducible': False, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 02:07:31.236473
0.04096749898592631 0.09849494 0.02147657489776611 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 90, 1], 'learning_rate': 0.015099999999999999, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 22:23:06.022855
0.0440605913301309 0.11050424 0.023630868911743264 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 90, 1], 'learning_rate': 0.0201, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 22:23:07.249430
0.051559040250380835 0.09764198 0.025754462089538466 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 90, 1], 'learning_rate': 0.0251, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 22:23:09.690557
0.03879267896612485 0.094763994 0.021760106086730957 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 110, 1], 'learning_rate': 0.0051, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 22:23:12.591123
0.03839392840862274 0.09665074 0.020332694053649902 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 130, 1], 'learning_rate': 0.0051, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 22:52:19.978495
0.04900255420207977 0.09990614 0.023826098365783643 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 110, 1], 'learning_rate': 0.0251, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 22:52:46.320794
0.04865723202427228 0.10059986 0.025758862495422363 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 110, 1], 'learning_rate': 0.0201, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 22:54:19.159027
0.048930753145615256 0.09545225 0.026285538749694748 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 110, 1], 'learning_rate': 0.015099999999999999, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 22:54:49.126808
0.043325241001447044 0.09359284 0.02342493316650396 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 130, 1], 'learning_rate': 0.0101, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 22:54:51.619197
0.04429880598783493 0.092259854 0.024685632629394494 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 110, 1], 'learning_rate': 0.0101, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 22:54:52.837878
0.06976753248373667 0.070034906 0.04431623081207281 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 130, 1], 'learning_rate': 0.0001, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 22:55:04.214313
0.04690299548904101 0.096748985 0.02420496940612793 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 130, 1], 'learning_rate': 0.015099999999999999, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 23:26:53.666560
0.04131896405617396 0.09504202 0.020012013778686555 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 150, 1], 'learning_rate': 0.0101, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 23:26:59.542577
0.03815400414268176 0.1072825 0.019514277763366783 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 130, 1], 'learning_rate': 0.0251, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 23:27:07.589029
0.02979106197853883 0.10713276 0.015188164558410655 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 130, 1], 'learning_rate': 0.0201, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 23:27:33.102198
0.03703815541267395 0.09952177 0.019721525802612216 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 150, 1], 'learning_rate': 0.0051, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 23:27:44.193304
0.06907327955166499 0.07221274 0.04545867443084717 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 150, 1], 'learning_rate': 0.0001, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 23:27:46.881119
0.03919417546788852 0.098956466 0.019824455337524416 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 150, 1], 'learning_rate': 0.015099999999999999, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 23:27:52.172712
0.06854180117845535 0.072401784 0.04296553134918213 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 50, 1], 'learning_rate': 0.0001, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 23:55:47.092988
0.040843388815720874 0.1009038 0.020639026794433635 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 50, 1], 'learning_rate': 0.0201, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 23:56:04.622222
0.04388721572359403 0.09521388 0.02100207527160647 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 50, 1], 'learning_rate': 0.0051, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 23:56:16.140906
0.0371562964618206 0.09634875 0.018396316833496185 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 50, 1], 'learning_rate': 0.0101, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 23:56:34.826495
0.04399702329039574 0.09821292 0.023606488838195716 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 50, 1], 'learning_rate': 0.015099999999999999, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 23:56:39.220027
0.030299257090687752 0.11293218 0.014979004859924316 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 150, 1], 'learning_rate': 0.0201, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 23:56:40.187625
0.044161441107590994 0.102070265 0.023224882659912183 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 125, 150, 1], 'learning_rate': 0.0251, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-23 23:56:53.102669
0.03838791755437851 0.09321036 0.01970299453735347 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 70, 1], 'learning_rate': 0.0051, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 00:24:34.505399
0.06897336348692576 0.07195105 0.04586195945739746 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 70, 1], 'learning_rate': 0.0001, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 00:24:44.098428
0.0491516188899676 0.099199116 0.024885808563232414 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 70, 1], 'learning_rate': 0.0251, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 00:24:57.641483
0.045273346545298895 0.10012993 0.021691501350402875 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 50, 1], 'learning_rate': 0.0251, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 00:25:00.793719
0.04157903152704239 0.09530565 0.02063640369415287 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 70, 1], 'learning_rate': 0.0101, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 00:25:07.076161
0.043347792361179985 0.09193068 0.02173699863433831 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 70, 1], 'learning_rate': 0.0201, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 00:25:15.042258
0.04892321885625521 0.09678974 0.025601049346923865 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 70, 1], 'learning_rate': 0.015099999999999999, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 00:25:18.647958
0.06789507777690887 0.07234998 0.043821676940917875 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 110, 1], 'learning_rate': 0.0001, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 00:53:02.294348
0.04381574454506238 0.09646586 0.023069525260925206 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 90, 1], 'learning_rate': 0.0101, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 00:53:11.519920
0.039776987767219545 0.09254228 0.020701747474670462 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 90, 1], 'learning_rate': 0.0051, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 00:53:43.963723
0.06916221302747727 0.07017313 0.047947411499023485 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 90, 1], 'learning_rate': 0.0001, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 00:53:51.364669
0.042524364974101385 0.09744787 0.02064955329895013 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 90, 1], 'learning_rate': 0.0201, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 00:54:01.813082
0.03899881219665209 0.10110366 0.019273591079711938 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 90, 1], 'learning_rate': 0.015099999999999999, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 00:54:05.429841
0.034976367102066676 0.1014349 0.016702227897644084 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 90, 1], 'learning_rate': 0.0251, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 00:54:09.180488
0.04574967328707377 0.095608436 0.022943618316650483 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 110, 1], 'learning_rate': 0.0251, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 01:22:38.795783
0.03594742245475451 0.10258229 0.01902097881317144 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 130, 1], 'learning_rate': 0.0051, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 01:22:51.715232
0.04327200702826182 0.10177658 0.021232472076416098 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 110, 1], 'learning_rate': 0.0201, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 01:22:55.794869
0.04114585021535556 0.10361584 0.020594711608886707 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 110, 1], 'learning_rate': 0.015099999999999999, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 01:22:56.818170
0.04063732921481133 0.09794148 0.02060800790786743 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 110, 1], 'learning_rate': 0.0101, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 01:23:02.355077
0.06942871103684108 0.0694705 0.04725578876495362 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 130, 1], 'learning_rate': 0.0001, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 01:23:02.731927
0.03218214416007201 0.099085025 0.015964986114501922 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 110, 1], 'learning_rate': 0.0051, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 01:23:11.469094
0.04125038770635923 0.09917464 0.020342800140380923 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 130, 1], 'learning_rate': 0.0201, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 01:51:54.652851
0.04015245569348335 0.09634867 0.020641371612548864 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 130, 1], 'learning_rate': 0.0101, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 01:52:18.564882
0.03954926966031393 0.09831516 0.020347473068237365 {'activation_function': 'relu', 'epochs': 100, 'batch_size': 1024, 'input_size': [4, 2], 'network_layers': [100, 150, 150, 1], 'learning_rate': 0.0101, 'optimizer': 'adam', 'loss_function': 'mae', 'metric': 'mae', 'train_points': 190000, 'test_points': 30000, 'lewicki': False, 'random': False, 'activation_regularization': 0, 'bias_regularization': 0, 'plot_error': None, 'save_weights': None, 'reproducible': True, 'verbose': 0, 'information': False, 'send_mail': None, 'config_file': None, 'batch_file': None} 2018-09-24 01:52:30.713195
